回款单号,到账日期,付款方名称,金额,付款方式,开户行,交易流水号,备注
PM-20260801-001,2026-08-01,名创优品（广州）有限责任公司,163348.0,网银转账,中国工商银行深圳前海支行,3956260831832256,6月货款合计 单号SO-20260605-004/SO-20260605-005/SO-20260605-006（场景1:多单合并）
PM-20260803-002,2026-08-03,TOPTOY（广州）文化发展有限公司,50000.0,网银转账,中国工商银行深圳前海支行,6747341224418040,6月部分货款 单号SO-20260618-016（场景2:部分回款）
PM-20260701-003,2026-07-01,抖音电商（官方旗舰店）,30000.0,网银转账,中国工商银行深圳前海支行,7633496704183093,7月新品订货预付款（场景4:预付款）
PM-20260805-004,2026-08-05,广州潮玩前线贸易有限公司,11978.83,网银转账,中国工商银行深圳前海支行,6986708854616866,7月货款 单号SO-20260720-044（场景5:抹零差异¥0.67）
PM-20260725-005,2026-07-25,酷乐潮玩（北京）贸易公司,38848.0,网银转账,中国工商银行深圳前海支行,4967854356581702,6月货款 BabyCat盲盒+端盒（场景6:付款方名称不规范）
PM-20260801-006,2026-08-01,上海晨光文具股份有限公司（九木杂物社）,14520.0,网银转账,中国工商银行深圳前海支行,2008867831427862,5月货款 单号SO-20260512-024（场景7:逾期15天到账）
PM-20260802-007,2026-08-02,广州KK馆贸易有限公司,45280.0,网银转账,中国工商银行深圳前海支行,6404576034975573,6-7月货款（场景8:含退货冲销）
PM-20260720-008,2026-07-20,广州潮玩前线贸易有限公司,11058.0,网银转账,中国工商银行深圳前海支行,6137576807612845,（场景9:无备注自动匹配）
PM-20260722-009,2026-07-22,义乌萌物集贸易有限公司,9214.0,网银转账,中国工商银行深圳前海支行,1544452611893555,5月货款（场景10:少付¥1.00）
PM-20260620-010,2026-06-20,名创优品（广州）有限责任公司,53820.8,网银转账,中国工商银行深圳前海支行,2944180289693803,5月BabyCat首轮试产货款
PM-20260625-011,2026-06-25,酷乐潮玩（北京）贸易有限公司,26126.4,网银转账,中国工商银行深圳前海支行,6337613985348779,5月BabyCat试产货款
PM-20260715-012,2026-07-15,抖音电商（官方旗舰店）,42560.0,网银转账,中国工商银行深圳前海支行,3874043667498408,5-6月平台结算（已扣佣金）
PM-20260808-013,2026-08-08,名创优品（广州）有限责任公司,72680.0,网银转账,中国工商银行深圳前海支行,9740812999426701,7月BabyCat暑期促销货款
PM-20260806-014,2026-08-06,酷乐潮玩（北京）贸易有限公司,51300.0,网银转账,中国工商银行深圳前海支行,4891252716295775,7月货款
PM-20260618-015,2026-06-18,广州KK馆贸易有限公司,8730.0,网银转账,中国工商银行深圳前海支行,3433771360600607,5月BabyCat试产货款
PM-20260628-016,2026-06-28,TOPTOY（广州）文化发展有限公司,37056.0,网银转账,中国工商银行深圳前海支行,1520232317833693,5月BabyCat试产货款
PM-20260710-017,2026-07-10,上海晨光文具股份有限公司（九木杂物社）,26022.0,网银转账,中国工商银行深圳前海支行,8028217708273842,5-6月货款
PM-20260708-018,2026-07-08,沃尔玛（中国）投资有限公司,17575.0,网银转账,中国工商银行深圳前海支行,7079413555936410,5月货款
PM-20260805-019,2026-08-05,抖音电商（官方旗舰店）,61750.0,网银转账,中国工商银行深圳前海支行,4725332905754255,7月平台结算（已扣佣金及达人分成）
PM-20260804-020,2026-08-04,TikTok Shop（跨境）,19607.0,网银转账,中国工商银行深圳前海支行,1389601948664220,TikTok Shop US 6月结算 $2756.00@7.1123 实到¥19607.00（场景14:汇兑损益¥326.50）
PM-20260728-021,2026-07-28,广州潮玩前线贸易有限公司,31828.8,网银转账,中国工商银行深圳前海支行,7259696892194660,6月货款 BabyCat盲盒+端盒
PM-20260807-022,2026-08-07,义乌萌物集贸易有限公司,30820.0,网银转账,中国工商银行深圳前海支行,4099031231421026,6-7月货款
