报表编号,报表月份,经销商编码,SKU编码,商品名称,销售数量,单价,销售金额
ST-202605-001,2026-05-01,DE-001,BLIND-02,BabyCat随机单盒（盲盒常规）,180,89,16020
ST-202605-002,2026-05-01,DE-001,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,95,546,51870
ST-202605-003,2026-05-01,DE-001,OPEN-BC-01,BabyCat明盒·橘影神偷（橘猫）,55,100,5500
ST-202606-004,2026-06-01,DE-001,BLIND-02,BabyCat随机单盒（盲盒常规）,480,89,42720
ST-202606-005,2026-06-01,DE-001,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,190,546,103740
ST-202606-006,2026-06-01,DE-001,ACC-01,BabyCat毛绒挂件·橘影神偷,280,39,10920
ST-202607-007,2026-07-01,DE-001,BLIND-02,BabyCat随机单盒（盲盒常规）,300,89,26700
ST-202607-008,2026-07-01,DE-001,OPEN-BC-03,BabyCat明盒·笨笨博士（布偶猫）,45,100,4500
ST-202605-009,2026-05-01,DE-002,BLIND-01,BabyCat随机单盒（盲盒早鸟）,140,89,12460
ST-202605-010,2026-05-01,DE-002,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,75,546,40950
ST-202606-011,2026-06-01,DE-002,BLIND-02,BabyCat随机单盒（盲盒常规）,380,89,33820
ST-202607-012,2026-07-01,DE-002,BLIND-02,BabyCat随机单盒（盲盒常规）,250,89,22250
ST-202605-013,2026-05-01,DE-003,BLIND-01,BabyCat随机单盒（盲盒早鸟）,190,89,16910
ST-202605-014,2026-05-01,DE-003,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,95,546,51870
ST-202606-015,2026-06-01,DE-003,BLIND-02,BabyCat随机单盒（盲盒常规）,460,89,40940
ST-202606-016,2026-06-01,DE-003,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,235,546,128310
ST-202607-017,2026-07-01,DE-003,BLIND-02,BabyCat随机单盒（盲盒常规）,280,89,24920
ST-202605-018,2026-05-01,DE-004,BLIND-01,BabyCat随机单盒（盲盒早鸟）,90,89,8010
ST-202606-019,2026-06-01,DE-004,BLIND-02,BabyCat随机单盒（盲盒常规）,270,89,24030
ST-202606-020,2026-06-01,DE-004,ACC-02,BabyCat亚克力立牌·BabyCat全家福,185,49,9065
ST-202607-021,2026-07-01,DE-004,BLIND-02,BabyCat随机单盒（盲盒常规）,145,89,12905
ST-202605-022,2026-05-01,DE-005,BLIND-01,BabyCat随机单盒（盲盒早鸟）,70,89,6230
ST-202605-023,2026-05-01,DE-005,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,35,546,19110
ST-202606-024,2026-06-01,DE-005,BLIND-02,BabyCat随机单盒（盲盒常规）,230,89,20470
ST-202606-025,2026-06-01,DE-005,OPEN-BC-03,BabyCat明盒·笨笨博士（布偶猫）,45,100,4500
