销售单号,开单日期,经销商编码,经销商名称,SKU编码,商品名称,数量,单价,金额,折扣率,实收金额,账期天数,到期日,批次类型,备注
SO-20260510-001,2026-05-10,DE-001,名创优品（广州）有限责任公司,BLIND-02,BabyCat随机单盒（盲盒常规）,200,95,19000,0.97,18430.0,45,2026-06-24,首单试产,BabyCat首轮铺货试产
SO-20260510-002,2026-05-10,DE-001,名创优品（广州）有限责任公司,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,100,546,54600,0.97,52962.0,45,2026-06-24,首单试产,端盒同步试产
SO-20260510-003,2026-05-10,DE-001,名创优品（广州）有限责任公司,OPEN-BC-01,BabyCat明盒·橘影神偷（橘猫）,60,100,6000,0.97,5820.0,45,2026-06-24,首单试产,
SO-20260605-004,2026-06-05,DE-001,名创优品（广州）有限责任公司,BLIND-02,BabyCat随机单盒（盲盒常规）,500,95,47500,0.97,46075.0,45,2026-07-20,快反追单,销售超预期→追单（场景1a）
SO-20260605-005,2026-06-05,DE-001,名创优品（广州）有限责任公司,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,200,546,109200,0.97,105924.0,45,2026-07-20,快反追单,端盒追单（场景1b）
SO-20260605-006,2026-06-05,DE-001,名创优品（广州）有限责任公司,ACC-01,BabyCat毛绒挂件·橘影神偷,300,39,11700,0.97,11349.0,45,2026-07-20,快反追单,挂件追单（场景1c）
SO-20260708-007,2026-07-08,DE-001,名创优品（广州）有限责任公司,BLIND-02,BabyCat随机单盒（盲盒常规）,800,95,76000,0.95,72200.0,45,2026-08-22,二次追单,暑期促销追单
SO-20260708-008,2026-07-08,DE-001,名创优品（广州）有限责任公司,OPEN-BC-03,BabyCat明盒·笨笨博士（布偶猫）,120,100,12000,0.95,11400.0,45,2026-08-22,二次追单,
SO-20260515-009,2026-05-15,DE-002,酷乐潮玩（北京）贸易有限公司,BLIND-01,BabyCat随机单盒（盲盒早鸟）,150,89,13350,0.97,12949.5,30,2026-06-14,首单试产,
SO-20260515-010,2026-05-15,DE-002,酷乐潮玩（北京）贸易有限公司,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,80,546,43680,0.97,42369.6,30,2026-06-14,首单试产,
SO-20260612-011,2026-06-12,DE-002,酷乐潮玩（北京）贸易有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,400,95,38000,0.97,36860.0,30,2026-07-12,快反追单,
SO-20260612-012,2026-06-12,DE-002,酷乐潮玩（北京）贸易有限公司,OPEN-BC-01,BabyCat明盒·橘影神偷（橘猫）,80,100,8000,0.97,7760.0,30,2026-07-12,快反追单,
SO-20260710-013,2026-07-10,DE-002,酷乐潮玩（北京）贸易有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,600,95,57000,0.95,54150.0,30,2026-08-09,二次追单,
SO-20260520-014,2026-05-20,DE-003,TOPTOY（广州）文化发展有限公司,BLIND-01,BabyCat随机单盒（盲盒早鸟）,200,89,17800,0.97,17266.0,45,2026-07-04,首单试产,
SO-20260520-015,2026-05-20,DE-003,TOPTOY（广州）文化发展有限公司,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,100,546,54600,0.97,52962.0,45,2026-07-04,首单试产,
SO-20260618-016,2026-06-18,DE-003,TOPTOY（广州）文化发展有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,500,95,47500,0.97,46075.0,45,2026-08-02,快反追单,
SO-20260618-017,2026-06-18,DE-003,TOPTOY（广州）文化发展有限公司,ENDBOX,BabyCat端盒（6只不重复·常规款全套）,250,546,136500,0.97,132405.0,45,2026-08-02,快反追单,
SO-20260715-018,2026-07-15,DE-003,TOPTOY（广州）文化发展有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,700,95,66500,0.95,63175.0,45,2026-08-29,二次追单,
SO-20260508-019,2026-05-08,DE-004,广州KK馆贸易有限公司,BLIND-01,BabyCat随机单盒（盲盒早鸟）,100,89,8900,0.97,8633.0,30,2026-06-07,首单试产,
SO-20260610-020,2026-06-10,DE-004,广州KK馆贸易有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,300,95,28500,0.97,27645.0,30,2026-07-10,快反追单,
SO-20260610-021,2026-06-10,DE-004,广州KK馆贸易有限公司,ACC-02,BabyCat亚克力立牌·BabyCat全家福,200,49,9800,0.97,9506.0,30,2026-07-10,快反追单,
SO-20260705-022,2026-07-05,DE-004,广州KK馆贸易有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,-30,95,-2850,1.0,-2850.0,30,2026-08-04,退货冲销,品质问题退货（场景8）
SO-20260705-023,2026-07-05,DE-004,广州KK馆贸易有限公司,BLIND-02,BabyCat随机单盒（盲盒常规）,160,95,15200,0.95,14440.0,30,2026-08-04,常规补货,
